id,nro_documento,tipo_documento,nombres,apellidos,celular,correo,cuenta_colaborador,areatrabajo_id
CL0000001,d7008ad1d,DNI,Jonathan,Willis,11713215,jonathan_willis@example.org,ZMWP49643504232515,PT0000056
CL0000002,c3f2c7801,Passport,Timothy,Gomez,24560840,timothy_gomez@example.org,ZLAO50995122125367,PT0000098
CL0000003,f61a4e1c8,DNI,Adrian,Foster,73938795,adrian_foster@example.org,VKCY69237015589816,PT0000075
CL0000004,e363e1728,DNI,Mark,Price,21179270,mark_price@hotmail.com,HMJA25131535890492,PT0000068
CL0000005,9f4a6685f,DNI,Jeffrey,Gonzalez,00220346,jeffrey_gonzalez@outlook.com,JEGD21972373435097,PT0000003
CL0000006,96eedd9f5,Passport,Patrick,Ramirez,57071509,patrick_ramirez@outlook.com,STGZ65849197600740,PT0000053
CL0000007,ba3481c88,DNI,Joy,Garcia,90641342,joy_garcia@hotmail.com,OSUC22446219408511,PT0000094
CL0000008,1978fd8e2,DNI,Timothy,Garcia,90051765,timothy_garcia@outlook.com,XGWS23355538454355,PT0000095
CL0000009,6e0e67627,DNI,James,Tucker,22456291,james_tucker@outlook.com,MEUT92406317289591,PT0000071
CL0000010,8b215e673,DNI,Jerome,Sloan,34471309,jerome_sloan@outlook.com,EZHA75226893347657,PT0000017
CL0000011,46cd0b95f,DNI,John,Gregory,47018860,john_gregory@gmail.com,UJAQ70396883154738,PT0000015
CL0000012,1ffc278c1,DNI,Jessica,Roberts,52950919,jessica_roberts@hotmail.com,XQNR52085471834797,PT0000027
CL0000013,7e54a2c20,DNI,Andrew,Gray,75091554,andrew_gray@outlook.com,RVNY28349019996856,PT0000043
CL0000014,3ffa90e1e,DNI,David,Barnes,66235125,david_barnes@hotmail.com,PMIO87733980375344,PT0000035
CL0000015,7a16f898a,Passport,Tyler,Vaughn,78795477,tyler_vaughn@outlook.com,QTQV36070183246300,PT0000082
CL0000016,e837b2746,Passport,Amy,Wilson,83894440,amy_wilson@example.org,DGTK34562059238798,PT0000031
CL0000017,d325e5733,Passport,Jennifer,Chavez,66269775,jennifer_chavez@outlook.com,SHLT18210753439924,PT0000001
CL0000018,f80d3e1e0,DNI,Shelby,Dickson,25556956,shelby_dickson@gmail.com,QXFR14054816071861,PT0000020
CL0000019,b116c30ff,Passport,Chase,Ellison,88726862,chase_ellison@outlook.com,LTJK63795037667336,PT0000070
CL0000020,4224a19b0,Passport,Ryan,Hill,01525738,ryan_hill@hotmail.com,GUOS24975773387496,PT0000012
CL0000021,d003c1e67,Passport,Lisa,Mills,83056986,lisa_mills@hotmail.com,KDGC33903330856948,PT0000045
CL0000022,fe07e90bb,DNI,Laura,Torres,95484017,laura_torres@example.org,TQJQ32000127521059,PT0000087
CL0000023,640cef273,DNI,Daniel,Dickson,47727368,daniel_dickson@outlook.com,UBON16151980914658,PT0000085
CL0000024,ac4ffc03c,DNI,Heather,Koch,33982950,heather_koch@example.org,FJUL28315994296258,PT0000094
CL0000025,8dce91a32,DNI,Gina,Bird,56406143,gina_bird@gmail.com,JPLB83953788933513,PT0000081
CL0000026,33a87cb4d,DNI,Katherine,Keller,32037189,katherine_keller@gmail.com,BFIK90016126085212,PT0000016
CL0000027,1dda41764,Passport,Jessica,Fuller,94646204,jessica_fuller@outlook.com,RGZU97285453135835,PT0000071
CL0000028,63bed4bd2,DNI,Kimberly,Higgins,46681459,kimberly_higgins@gmail.com,HQKM27496737721024,PT0000051
CL0000029,41eed43fb,Passport,Allison,Green,62136309,allison_green@example.org,CHJD77357016517490,PT0000073
CL0000030,98d97e119,DNI,Marcus,Lopez,66664411,marcus_lopez@example.org,UXHK31728276833181,PT0000072
CL0000031,4a4ec4d59,Passport,John,Leonard,06657233,john_leonard@example.org,EEXF07596051663488,PT0000071
CL0000032,9ccbca18f,DNI,William,Blair,35241613,william_blair@gmail.com,RCTC43972055807640,PT0000074
CL0000033,4b27ddefd,DNI,Michelle,Costa,87287322,michelle_costa@gmail.com,RVVF35670689098473,PT0000009
CL0000034,973608de5,Passport,Christina,Young,12303844,christina_young@gmail.com,WDVQ92040817318310,PT0000069
CL0000035,964b7ecb4,DNI,Eric,Jones,51622830,eric_jones@hotmail.com,VKOP53310554917092,PT0000094
CL0000036,5a7f89321,Passport,Michael,Davis,25576546,michael_davis@gmail.com,LAJP05653674240765,PT0000004
CL0000037,27dbf2550,DNI,Loretta,Evans,69575583,loretta_evans@example.org,DFYG28293005123465,PT0000041
CL0000038,ef504fa49,Passport,Crystal,Jordan,32219742,crystal_jordan@example.org,MTEG37763201467138,PT0000061
CL0000039,dd5143fe6,Passport,Shirley,Douglas,05260698,shirley_douglas@hotmail.com,XWGR94018202066982,PT0000079
CL0000040,2026517ac,DNI,Madison,Montgomery,05999546,madison_montgomery@example.org,JNVM02949860292565,PT0000007
CL0000041,adef5d7cc,Passport,Stephanie,Davidson,61771750,stephanie_davidson@gmail.com,VZAQ39664534767853,PT0000065
CL0000042,a1ea7c6fe,DNI,Ryan,Smith,67041806,ryan_smith@gmail.com,ZNMN39189832646168,PT0000035
CL0000043,ba94ce2b4,DNI,Corey,Shaw,83597452,corey_shaw@hotmail.com,NNLF46132785405772,PT0000096
CL0000044,ab3a9dd56,Passport,Mark,Wallace,77916427,mark_wallace@example.org,KYON93394271095383,PT0000099
CL0000045,9a15a4524,DNI,Megan,Cruz,41455624,megan_cruz@gmail.com,VWFK46321557272569,PT0000010
CL0000046,0502c3425,DNI,Michelle,White,17409395,michelle_white@gmail.com,BUYX95875442990869,PT0000048
