numero_cuenta,cliente_id,tipo_cuenta
GB38ZCJQ023056346440,C00000033,chequera
GB46BSMV492680200817,C00000043,ahorro
GB63JKMG613819483878,C00000071,ahorro
GB26QYYI803210626703,C00000046,nomina
GB35YXFS159485744518,C00000079,chequera
GB17JYEN426168058215,C00000068,chequera
GB06YEUO522123820553,C00000082,nomina
GB95GAOT351782632249,C00000051,nomina
GB49OZUV694934693233,C00000034,corriente
GB63YBUB683825748329,C00000042,corriente
GB40NIZV639628359300,C00000092,chequera
GB44GBPT575961966333,C00000022,ahorro
GB30RAQO367461191275,C00000002,corriente
GB77NSDJ897336583578,C00000086,chequera
GB15EPAL023827952149,C00000013,chequera
GB80ICHM880506758099,C00000093,corriente
GB67DGKN769738075572,C00000095,nomina
GB90ABTT578756851190,C00000020,ahorro
GB13BQAP089788909850,C00000012,corriente
GB40JCIH208772275923,C00000096,nomina
GB17BXWZ943749150892,C00000004,nomina
GB39MPRU953729440332,C00000026,chequera
GB90RWZH191748803739,C00000069,chequera
GB05SFJZ762687975294,C00000062,nomina
GB94ILFM125251345803,C00000036,ahorro
GB05GKGH119283341209,C00000058,dolares
GB81KGIU735149527069,C00000052,corriente
GB43KSFT633483518739,C00000029,corriente
GB93IWJJ712268072298,C00000030,ahorro
GB78YRNM612258803695,C00000037,nomina
GB08XALB105066211076,C00000053,ahorro
GB14FMKV017487053920,C00000074,chequera
GB28CELR492825031183,C00000084,corriente
GB43YMHB102557614658,C00000094,chequera
GB60FTKL875145294065,C00000040,nomina
GB81AHXF210588920086,C00000007,dolares
GB04KELP929694753661,C00000016,ahorro
GB17CWID630333571958,C00000003,ahorro
GB13BAGZ713372108356,C00000098,dolares
GB85WHCW895909263541,C00000018,chequera
GB20SRYO195912930441,C00000010,ahorro
GB86VLOH770990348569,C00000087,chequera
GB27HMTO174615487545,C00000070,ahorro
GB31ALBW100131792587,C00000021,nomina
GB13JZWT765990158280,C00000032,dolares
GB37MTTE655536790685,C00000028,chequera
GB72WZCX604755157234,C00000023,corriente
GB18OBOT204227651775,C00000047,ahorro
GB82MCSK990535163996,C00000017,nomina
GB16ZBLH960239474188,C00000014,dolares
GB23QUEH986187081279,C00000060,dolares
GB93TAAP041489855024,C00000073,chequera
GB43DYNA593847949482,C00000005,corriente
GB86OTWC909779657108,C00000077,corriente
GB05UZCU180556596618,C00000099,ahorro
GB03IRIP505794029309,C00000006,ahorro
GB07TRBG845225621658,C00000081,ahorro
GB02OHPD845483329195,C00000011,nomina
GB08SOXY767333887899,C00000038,dolares
GB58CGYW377828509241,C00000055,dolares
GB19ILOM347185580706,C00000059,dolares
GB52RHGN556635618697,C00000045,corriente
GB94EHVG800314571425,C00000054,corriente
GB02KNSE645628334468,C00000064,chequera
GB13MHUG495887061070,C00000076,chequera
GB96XHQK119129790383,C00000100,corriente
GB11MDFG906698317853,C00000039,chequera
GB58UVRB189118913896,C00000031,nomina
GB63FAAK594835611668,C00000027,dolares
GB32VNOJ783184773392,C00000049,nomina
GB36RTBJ094516620948,C00000056,nomina
GB79MDVU472869842303,C00000044,chequera
GB78ZLCQ180166484167,C00000041,corriente
GB35JNWH500104861918,C00000015,nomina
GB30EFRI380513034370,C00000085,corriente
GB58QYKI142672453713,C00000066,nomina
GB50VFHE896137585732,C00000008,dolares
GB53VUGQ497753398102,C00000001,chequera
GB59JQPX972041681404,C00000025,dolares
GB59LXVW237037871054,C00000089,dolares
GB61OPAX899409327557,C00000083,dolares
GB14XCPO120913456059,C00000080,ahorro
GB75MUGM845624932181,C00000067,dolares
GB12CXQX418574631903,C00000035,corriente
GB32NDZW931653863266,C00000063,chequera
GB11ROZF803024002757,C00000075,dolares
GB95LKKE175186894906,C00000088,nomina
GB37WSXC232706104201,C00000078,nomina
GB87ZCJP620133223002,C00000057,dolares
GB52CYKP201239550448,C00000009,corriente
GB75UHFJ307142774791,C00000061,corriente
GB80ZMIW520864917252,C00000024,dolares
GB08JGVS002327767698,C00000050,dolares
GB38WHPG972449401253,C00000090,dolares
GB83LWVZ041358249158,C00000097,ahorro
GB45JRHV427976426623,C00000072,ahorro
GB84YGBG055267986765,C00000065,dolares
GB04HCZJ662832614199,C00000019,corriente
GB42AKLB853240516206,C00000048,nomina
GB33INUH236452577373,C00000091,nomina
