usuario_id,cliente_id,telefono,numero_cuenta
US0001001,C00000836,10815378,GB10OJRH472241727443
US0001002,C00000680,38114121,GB82AWTJ827723773306
US0001003,C00000553,25124028,GB71GPYK634549852060
US0001004,C00000897,60515369,GB49DWHO614421556208
US0001005,C00000143,32513138,GB64BGXE939758456685
US0001006,C00000582,53150955,GB41TJQY507577472877
US0001007,C00000064,3348075,GB19SVMR541150828811
US0001008,C00000741,68215119,GB46VARY697096209385
US0001009,C00000950,19908022,GB70GPWO667262365721
US0001010,C00000302,22437794,GB86EGUG426427800307
US0001011,C00000476,56466988,GB38LNKB548532249584
US0001012,C00000661,99686776,GB76BSMH204001205835
US0001013,C00000837,49895976,GB52JBUR609521439167
US0001014,C00000199,86643387,GB22TXYR182879047286
US0001015,C00000698,98294068,GB25HYJU215729127666
US0001016,C00000861,87584583,GB81LOTZ656722679536
US0001017,C00000527,49371869,GB06BLZL475475334852
US0001018,C00000628,47510537,GB20MRMD234902574730
US0001019,C00000800,79186082,GB34PCNU598845987989
US0001020,C00000753,77644747,GB14DHDI366939475575
US0001021,C00000945,76204453,GB12JDIR648585531362
US0001022,C00000267,10283654,GB91URBK762885545602
US0001023,C00000683,23915066,GB67GVIM885086241125
US0001024,C00000590,6372971,GB07YZZD357566659895
US0001025,C00000130,17455671,GB85AZRR565806346754
US0001026,C00000182,57709467,GB50FHBH373504379687
US0001027,C00000599,72373551,GB87NUSO311508963361
US0001028,C00000131,59903794,GB29GEKL431405984748
US0001029,C00000744,87834788,GB26JTOF252196524370
US0001030,C00000821,6295676,GB39GBND949817598107
US0001031,C00000956,32162790,GB02YSDS847549391595
US0001032,C00000423,3695515,GB32YMMA150420314039
US0001033,C00000015,72649451,GB17VZRS836136290890
US0001034,C00000710,17502937,GB71CXAB707816905162
US0001035,C00000905,2187552,GB31XBEL791436558004
US0001036,C00000853,49986670,GB16ZJLX262491175187
US0001037,C00000557,23656569,GB46CFKN485815746710
US0001038,C00000843,48741338,GB70ABIY044293986149
US0001039,C00000169,43622414,GB24WDJF372056101905
US0001040,C00000450,49700644,GB13AQQT497212474924
US0001041,C00000442,45666926,GB62FCYD391333904379
US0001042,C00000494,76470217,GB31QRGQ745985618827
US0001043,C00000281,62325920,GB87XQET085235216596
US0001044,C00000650,95230381,GB13DQBI802003662542
US0001045,C00000566,29627927,GB96MAKO672657661218
US0001046,C00000767,80212275,GB96VWUE481882347563
US0001047,C00000444,7269154,GB53ASPY984931174418
US0001048,C00000301,10740008,GB81BRZY089917523705
US0001049,C00000745,20984625,GB68ITHR756003322058
