numero_cuenta,cliente_id,tipo_cuenta
GB24UFHQ204681857889,C00008822,ahorro
GB96DSBD277281994843,C00007268,ahorro
GB48TIYS819068595129,C00005128,chequera
GB44KZDW270676537235,C00009614,nomina
GB26ZJEH392205148760,C00003534,ahorro
GB62RBHZ798457150115,C00009935,dolares
GB67JAKT761545158711,C00002494,nomina
GB39HUFJ099799695916,C00004860,ahorro
GB40OQFO766151086530,C00008225,dolares
GB80ZVCN470180285673,C00000790,ahorro
GB71HUVD536333381766,C00004344,dolares
GB12YAFT738280191689,C00003349,nomina
GB62TYLU338984991062,C00003746,dolares
GB61URCR863309033852,C00004754,ahorro
GB14JLDI284024486946,C00009739,chequera
GB45KDVS943232095463,C00003842,dolares
GB58IZIK514848883430,C00002276,chequera
GB73QVBI106454598701,C00005014,chequera
GB35BWZA396618382162,C00007482,chequera
GB29RELD525051497393,C00002830,chequera
GB63IPVO555591014784,C00000517,dolares
GB75ELEW527436783343,C00001637,ahorro
GB16BQNF161165145103,C00009331,corriente
GB96HRRK240234048969,C00009293,ahorro
GB20DWAU717747310292,C00005462,nomina
GB96ZPNL524284382757,C00008813,chequera
GB11NGFP390144004880,C00000812,ahorro
GB22HSXH878967265186,C00005373,ahorro
GB04GHOC890117683757,C00002614,corriente
GB28ASDA743896358257,C00000848,chequera
GB89QHFI420522218712,C00008359,dolares
GB92LBTV497518321219,C00008996,chequera
GB57MYBG685301894445,C00005474,chequera
GB55MSDR045415320027,C00002724,chequera
GB83TFPO703958034622,C00005607,nomina
GB98HIUX248193006976,C00005034,corriente
GB23EUDO532132101787,C00003428,nomina
GB93HVCI677160227936,C00008627,dolares
GB34KERQ315035253772,C00006900,ahorro
GB75UOJJ634766657829,C00009761,chequera
GB28WRYA501228620614,C00006151,chequera
GB10JBJQ616984584414,C00000763,nomina
GB53TJLD727976800347,C00006086,chequera
GB69JSNL710838180848,C00003310,ahorro
GB71LAKP761769190570,C00007456,corriente
GB12OOGG372452365467,C00002434,nomina
GB78XVVA385900467982,C00003276,dolares
GB64PJJP603131711678,C00004040,dolares
GB46BPXN300547407546,C00009325,nomina
GB34EQQQ942767958789,C00005061,chequera
GB85DWEE703273004181,C00004662,ahorro
GB46SEKV472439061638,C00002507,nomina
GB24FKVI771601726715,C00001650,chequera
GB18XIOF202459318937,C00007866,ahorro
GB60OHZA538332245758,C00009540,corriente
GB70JPZU573237289156,C00007616,chequera
GB67XUYP408449481263,C00004465,corriente
GB82HEJX754826917700,C00000361,ahorro
GB64FMOV089196621308,C00008118,dolares
GB51JWQR600705361327,C00002840,ahorro
GB32DHMA007882443832,C00006493,nomina
GB11MPPN746096800876,C00008522,corriente
GB84HZRB848422677358,C00000369,nomina
GB27RXGV443694030802,C00005970,dolares
GB95BGMV226302890269,C00009549,chequera
GB60KQHT105196539578,C00005520,chequera
GB17IDZU820897162968,C00007196,ahorro
GB88KVBI353302535911,C00001558,ahorro
GB07MYPY111588802178,C00004794,dolares
GB16BWMO964595159710,C00005766,chequera
GB38TLTW121804739502,C00002504,chequera
GB26SRTZ769406338014,C00005008,chequera
GB75BKWM952988235076,C00001875,chequera
GB30TLPW280502235056,C00000996,ahorro
GB96OQWO859078376060,C00008471,dolares
GB18DPKN515324684264,C00008873,dolares
GB53RHBH405520673156,C00006474,chequera
GB05BVLC020282474546,C00001647,ahorro
GB13PSLT323074642708,C00009484,chequera
GB26LUEF673759610896,C00000355,corriente
GB30XNWS983024314586,C00009556,chequera
GB28ILGF039041211086,C00007376,dolares
GB70RMJF981700548758,C00008762,ahorro
GB98NWBS787590349229,C00000046,ahorro
GB78ZVFR793110280074,C00004863,chequera
GB79GCZT835367552168,C00007887,dolares
GB84RVWQ978261821655,C00003784,nomina
GB39CDDS113664782941,C00007202,chequera
GB41JVXX683457540061,C00008998,ahorro
GB80XWDT695022524948,C00008654,chequera
GB56BGVO841934779326,C00005791,dolares
GB47RRMJ020370230066,C00004868,corriente
GB75WUHJ223833945448,C00006408,chequera
GB44NWCW711711058544,C00003600,nomina
GB96JXOC086901189668,C00003846,corriente
GB65GEEO621006881007,C00006157,dolares
GB91WKUS128899741495,C00006343,chequera
GB36MMJB330752556340,C00002111,nomina
GB96DFNQ419199841017,C00002264,ahorro
GB42NMTO338047497480,C00009812,nomina
GB11PTWC682950339585,C00007815,corriente
GB20WDRK566224557327,C00008772,ahorro
GB57EDAT878557409988,C00004371,nomina
GB06YJQH368762401506,C00001936,dolares
GB63DSUV908403947908,C00004260,corriente
GB72WYFR208533793184,C00004965,dolares
GB52KHAE279957860298,C00009722,nomina
GB68TWTN475504565113,C00003883,corriente
GB80VHVH262083255784,C00000397,nomina
GB41VGSQ477852004558,C00000204,nomina
GB61LYUZ180444609850,C00005304,nomina
GB47LOUE070516698674,C00003956,chequera
GB45PONV411848783661,C00007395,ahorro
GB59PZTR402566115632,C00008869,nomina
GB72EHFS851100957914,C00006949,ahorro
GB08DXJG024899658412,C00001736,ahorro
GB20JEWR651875393816,C00003298,dolares
GB39MQZK386787768105,C00008127,ahorro
GB43TYMO173755733398,C00007719,corriente
GB09UFKG174031538704,C00002509,nomina
GB02EYCA144490015809,C00006415,nomina
GB04EQRK612108499395,C00005695,corriente
GB85IIKM445956273676,C00008374,corriente
GB08ZUJX096023040141,C00000757,ahorro
GB45VGMZ523838768000,C00007566,ahorro
GB94ANTD858781019426,C00004208,chequera
GB49GGTE416795179942,C00003205,ahorro
GB13GFEQ478293596203,C00008010,ahorro
GB43UZBQ660071479445,C00000644,ahorro
GB55ZCRJ251504925982,C00000761,dolares
GB97XKGN287825408688,C00004314,chequera
GB71XMBK754487895446,C00006229,nomina
GB43VQZV705216792677,C00001231,corriente
GB34BNUC047300650466,C00004269,corriente
GB39ILQM063470689337,C00005102,dolares
GB27UGSG641340230221,C00000949,nomina
GB08IYTF016835042111,C00008487,ahorro
GB89ZTQZ957873921012,C00008188,nomina
GB29JMBI135589346164,C00002462,ahorro
GB64AMDC109936000876,C00006439,corriente
GB76CNZC343531746459,C00003611,nomina
GB70UJPF246441980803,C00008958,corriente
GB53MVGB507106531584,C00008080,ahorro
GB95HKEV028933605618,C00001389,corriente
GB18EJDF139960190575,C00005219,ahorro
GB97MYPT349546998262,C00007157,dolares
GB67ZHPP834027667787,C00005443,dolares
GB95QIQW694584447454,C00009887,corriente
GB52VXPT368667063356,C00007385,nomina
GB78IZGE545762140430,C00008587,ahorro
GB08BKHT399927901098,C00000535,nomina
GB11XQMY138376788725,C00002106,nomina
GB25LNGS257814896629,C00005718,nomina
GB37LHCS410329373845,C00009681,corriente
GB57CFAI163711707033,C00007307,nomina
GB56UKSO387592054651,C00008807,nomina
GB52NSNR403910421114,C00006940,nomina
GB97YBHE442754081409,C00006302,dolares
GB61LBRI151933470908,C00003045,ahorro
GB82NJQX583874622665,C00003871,ahorro
GB34YLKM070797252870,C00009830,corriente
GB48DWPH695990482841,C00009730,ahorro
GB20AOAV995133959982,C00004902,chequera
GB43JFNQ999643044974,C00007930,dolares
GB73HDSU656051500627,C00001787,dolares
GB47LPEU020901060427,C00003121,chequera
GB87FZIW646499625018,C00007386,ahorro
GB53IBIV718380937356,C00006692,ahorro
GB32XIPV398053863534,C00001538,nomina
GB58TXZC962646443037,C00009283,ahorro
GB23JIPG418830989327,C00002625,dolares
GB14ILZR471190325995,C00003899,chequera
GB22GART776409288350,C00002947,ahorro
GB60HPTT384119102454,C00009705,chequera
GB71YVJV333646946050,C00007671,nomina
GB69AIYK967074377637,C00004000,corriente
GB25CQHY350785972077,C00001396,corriente
GB78SHPN110766567611,C00008320,corriente
GB69IJPC108147733801,C00007902,chequera
GB32WBSM346599821772,C00006854,ahorro
GB06YYSO813952236975,C00007246,chequera
GB04XZPB042302153180,C00009332,dolares
GB36GBNF613127029630,C00006634,ahorro
GB95PFTT373931551059,C00006796,corriente
GB66XLYN418730492914,C00000978,chequera
GB71KRTO451051515115,C00002214,corriente
GB68URWG106776391800,C00006767,chequera
GB62DYZA567637271596,C00000184,chequera
GB72PFLE815254892215,C00005334,corriente
GB63KMKT444457272973,C00000829,dolares
GB77GACR047489655165,C00003249,dolares
GB12DCVC681480888784,C00004251,corriente
GB84AOAM498682865590,C00009130,dolares
GB66XRMS587735051166,C00006891,ahorro
GB33VTLZ550428000448,C00004626,ahorro
GB75NCYN570356803702,C00004803,ahorro
