id,usuario,password
US0000001,Samuel.Carter,e$J@nZ24+5
US0000002,Sarah.Chapman,J#h@c6Xhs(
US0000003,Samantha.Hernandez,@)m5HMpvLg
US0000004,Brittney.Haynes,HpZ&s0eg_2
US0000005,Marcus.Terrell,2DDlCC5u+)
US0000006,Sandra.Simmons,&XM3A&6gv5
US0000007,Heidi.Miller,7aWXc&d!&8
US0000008,Rhonda.Parker,ukAjJe6z#2
US0000009,Elizabeth.Grant,_I98QLNr&h
US0000010,Kendra.Rodriguez,#6ej_XyiUy
US0000011,Joseph.Duncan,Y9puKsDi^P
US0000012,Elizabeth.Wilkinson,6aIA3szC$c
US0000013,Andrew.Jennings,z(V9XDDq*U
US0000014,Justin.Vincent,(4noLzBc@$
US0000015,Theresa.Allen,lv_8NxahA#
US0000016,Roger.Martinez,CGwo*7z8s(
US0000017,Sharon.Andrews,5^d5YxiAeq
US0000018,Valerie.White,_)&jd4Yvii
US0000019,Xavier.Fisher,@z#xPadg0r
US0000020,Jay.Boyd,N+T4YWsxV@
US0000021,Paul.Mosley,6pOTySam$X
US0000022,John.Koch,83YYh8eH^I
US0000023,Christopher.Brown,(_%0IJnLMZ
US0000024,Melanie.Orr,f(Q7_Mj%(M
US0000025,David.Medina,QyH3VBNo%6
US0000026,Marcus.Porter,Y7DBfkir^i
US0000027,John.Williams,!PxN^Ovo8l
US0000028,Rachel.Pierce,wMNGHo&s^8
US0000029,Jesse.Mann,%U6HU!nT*4
US0000030,Kathleen.Vargas,_^4XcBxs%Y
US0000031,Jonathan.Bradley,#_kw5OVa4N
US0000032,Jeremy.Townsend,5RTTxtTz(J
US0000033,Angel.Burgess,qhL3G#wrt@
US0000034,William.Gould,c+36O0RbW&
US0000035,Manuel.Petersen,*6l!Int2)4
US0000036,Thomas.Carson,n3m!xJok*!
US0000037,Jamie.Berg,G$j4I_Gm%Q
US0000038,John.Mathis,T%X8b9Rqzi
US0000039,Kenneth.Cooper,&p6Q0c8Gp%
US0000040,Joseph.Graves,E^nm9mWjJp
US0000041,Carl.Williams,#Ktp9A_gpt
US0000042,Marilyn.Moody,@fK4hvOy8j
US0000043,Tammy.Brown,gC!9JRuwD%
US0000044,Jack.Davis,!!4g_4Tf@N
US0000045,Patrick.Jennings,7!UUjTEv$6
US0000046,Samuel.Riddle,3%1HWibah1
US0000047,Susan.Norris,6^lJfS6k+5
US0000048,William.Woodward,a9Oh8)*a&Q
US0000049,Emily.Becker,)uWM99Bg2&
US0000050,Gina.Evans,^9DvCYrrp2
US0000051,Larry.Fisher,&e3$YMOJX2
US0000052,Kelli.Miles,X#c7d!vg9Z
US0000053,Juan.Williams,6&SmtaLw!#
US0000054,Sara.Bates,1DBP6q_Y$M
US0000055,Jason.Scott,!s99SLrf%V
US0000056,Kari.Peterson,3X%!2iXxkW
US0000057,Timothy.Soto,%QQLaXtu@0
