usuario_id,cliente_id,telefono,numero_cuenta
US0010001,C00008822,36577791,GB24UFHQ204681857889
US0010002,C00007268,23215722,GB96DSBD277281994843
US0010003,C00005128,79108018,GB48TIYS819068595129
US0010004,C00009614,57739290,GB44KZDW270676537235
US0010005,C00003534,43902489,GB26ZJEH392205148760
US0010006,C00009935,54450971,GB62RBHZ798457150115
US0010007,C00002494,71983479,GB67JAKT761545158711
US0010008,C00004860,60620,GB39HUFJ099799695916
US0010009,C00008225,77887735,GB40OQFO766151086530
US0010010,C00000790,82824193,GB80ZVCN470180285673
US0010011,C00004344,99590881,GB71HUVD536333381766
US0010012,C00003349,64289602,GB12YAFT738280191689
US0010013,C00003746,17007749,GB62TYLU338984991062
US0010014,C00004754,12376836,GB61URCR863309033852
US0010015,C00009739,29487747,GB14JLDI284024486946
US0010016,C00003842,3264400,GB45KDVS943232095463
US0010017,C00002276,28270433,GB58IZIK514848883430
US0010018,C00005014,81171180,GB73QVBI106454598701
US0010019,C00007482,73610674,GB35BWZA396618382162
US0010020,C00002830,57569569,GB29RELD525051497393
US0010021,C00000517,40998923,GB63IPVO555591014784
US0010022,C00001637,28474491,GB75ELEW527436783343
US0010023,C00009331,24822965,GB16BQNF161165145103
US0010024,C00009293,51090124,GB96HRRK240234048969
US0010025,C00005462,63914607,GB20DWAU717747310292
US0010026,C00008813,48657072,GB96ZPNL524284382757
US0010027,C00000812,63248136,GB11NGFP390144004880
US0010028,C00005373,86843584,GB22HSXH878967265186
US0010029,C00002614,95546485,GB04GHOC890117683757
US0010030,C00000848,71206222,GB28ASDA743896358257
US0010031,C00008359,21188047,GB89QHFI420522218712
US0010032,C00008996,99966816,GB92LBTV497518321219
US0010033,C00005474,86030297,GB57MYBG685301894445
US0010034,C00002724,7598587,GB55MSDR045415320027
US0010035,C00005607,38880912,GB83TFPO703958034622
US0010036,C00005034,85325918,GB98HIUX248193006976
US0010037,C00003428,45802550,GB23EUDO532132101787
US0010038,C00008627,7679557,GB93HVCI677160227936
US0010039,C00006900,2523288,GB34KERQ315035253772
US0010040,C00009761,52802813,GB75UOJJ634766657829
US0010041,C00006151,61298058,GB28WRYA501228620614
US0010042,C00000763,53003567,GB10JBJQ616984584414
US0010043,C00006086,29796220,GB53TJLD727976800347
US0010044,C00003310,72776445,GB69JSNL710838180848
US0010045,C00007456,18855163,GB71LAKP761769190570
US0010046,C00002434,74198865,GB12OOGG372452365467
US0010047,C00003276,78041590,GB78XVVA385900467982
US0010048,C00004040,5639734,GB64PJJP603131711678
US0010049,C00009325,88183780,GB46BPXN300547407546
US0010050,C00005061,40884405,GB34EQQQ942767958789
US0010051,C00004662,44823086,GB85DWEE703273004181
US0010052,C00002507,26826375,GB46SEKV472439061638
US0010053,C00001650,47472552,GB24FKVI771601726715
US0010054,C00007866,71825718,GB18XIOF202459318937
US0010055,C00009540,28986610,GB60OHZA538332245758
US0010056,C00007616,90188418,GB70JPZU573237289156
US0010057,C00004465,85148749,GB67XUYP408449481263
US0010058,C00000361,27240145,GB82HEJX754826917700
US0010059,C00008118,34693969,GB64FMOV089196621308
US0010060,C00002840,39661041,GB51JWQR600705361327
US0010061,C00006493,81764986,GB32DHMA007882443832
US0010062,C00008522,82235309,GB11MPPN746096800876
US0010063,C00000369,2756767,GB84HZRB848422677358
US0010064,C00005970,95770632,GB27RXGV443694030802
US0010065,C00009549,88460067,GB95BGMV226302890269
US0010066,C00005520,51680960,GB60KQHT105196539578
US0010067,C00007196,80263422,GB17IDZU820897162968
US0010068,C00001558,95006757,GB88KVBI353302535911
US0010069,C00004794,13773115,GB07MYPY111588802178
US0010070,C00005766,65520876,GB16BWMO964595159710
US0010071,C00002504,58111058,GB38TLTW121804739502
US0010072,C00005008,25175155,GB26SRTZ769406338014
US0010073,C00001875,20480019,GB75BKWM952988235076
US0010074,C00000996,93883322,GB30TLPW280502235056
US0010075,C00008471,98610530,GB96OQWO859078376060
US0010076,C00008873,71600140,GB18DPKN515324684264
US0010077,C00006474,84046539,GB53RHBH405520673156
US0010078,C00001647,76925665,GB05BVLC020282474546
US0010079,C00009484,13159102,GB13PSLT323074642708
US0010080,C00000355,95976216,GB26LUEF673759610896
US0010081,C00009556,48788789,GB30XNWS983024314586
US0010082,C00007376,83300034,GB28ILGF039041211086
US0010083,C00008762,18582682,GB70RMJF981700548758
US0010084,C00000046,46954703,GB98NWBS787590349229
US0010085,C00004863,93112183,GB78ZVFR793110280074
US0010086,C00007887,468286,GB79GCZT835367552168
US0010087,C00003784,96233501,GB84RVWQ978261821655
US0010088,C00007202,42855189,GB39CDDS113664782941
US0010089,C00008998,440229,GB41JVXX683457540061
US0010090,C00008654,2561711,GB80XWDT695022524948
US0010091,C00005791,9504129,GB56BGVO841934779326
US0010092,C00004868,92191036,GB47RRMJ020370230066
US0010093,C00006408,57144938,GB75WUHJ223833945448
US0010094,C00003600,70559338,GB44NWCW711711058544
US0010095,C00003846,14483488,GB96JXOC086901189668
US0010096,C00006157,21398091,GB65GEEO621006881007
US0010097,C00006343,55460639,GB91WKUS128899741495
US0010098,C00002111,4452212,GB36MMJB330752556340
US0010099,C00002264,62641336,GB96DFNQ419199841017
US0010100,C00009812,55353843,GB42NMTO338047497480
US0010101,C00007815,98897688,GB11PTWC682950339585
US0010102,C00008772,57003380,GB20WDRK566224557327
US0010103,C00004371,11792776,GB57EDAT878557409988
US0010104,C00001936,81687630,GB06YJQH368762401506
US0010105,C00004260,95732009,GB63DSUV908403947908
US0010106,C00004965,71566798,GB72WYFR208533793184
US0010107,C00009722,94363584,GB52KHAE279957860298
US0010108,C00003883,86806825,GB68TWTN475504565113
US0010109,C00000397,65016660,GB80VHVH262083255784
US0010110,C00000204,77845523,GB41VGSQ477852004558
US0010111,C00005304,23975690,GB61LYUZ180444609850
US0010112,C00003956,47007582,GB47LOUE070516698674
US0010113,C00007395,14395181,GB45PONV411848783661
US0010114,C00008869,84371145,GB59PZTR402566115632
US0010115,C00006949,48416361,GB72EHFS851100957914
US0010116,C00001736,69101435,GB08DXJG024899658412
US0010117,C00003298,70508055,GB20JEWR651875393816
US0010118,C00008127,17159107,GB39MQZK386787768105
US0010119,C00007719,2296659,GB43TYMO173755733398
US0010120,C00002509,20695755,GB09UFKG174031538704
US0010121,C00006415,26240283,GB02EYCA144490015809
US0010122,C00005695,40549165,GB04EQRK612108499395
US0010123,C00008374,10052004,GB85IIKM445956273676
US0010124,C00000757,81805915,GB08ZUJX096023040141
US0010125,C00007566,6823905,GB45VGMZ523838768000
US0010126,C00004208,75641467,GB94ANTD858781019426
US0010127,C00003205,83408332,GB49GGTE416795179942
US0010128,C00008010,19947275,GB13GFEQ478293596203
US0010129,C00000644,79025113,GB43UZBQ660071479445
US0010130,C00000761,65995297,GB55ZCRJ251504925982
US0010131,C00004314,55256940,GB97XKGN287825408688
US0010132,C00006229,26096041,GB71XMBK754487895446
US0010133,C00001231,35973213,GB43VQZV705216792677
US0010134,C00004269,61435360,GB34BNUC047300650466
US0010135,C00005102,30296431,GB39ILQM063470689337
US0010136,C00000949,57972131,GB27UGSG641340230221
US0010137,C00008487,38608440,GB08IYTF016835042111
US0010138,C00008188,63692421,GB89ZTQZ957873921012
US0010139,C00002462,53984418,GB29JMBI135589346164
US0010140,C00006439,35405890,GB64AMDC109936000876
US0010141,C00003611,79573389,GB76CNZC343531746459
US0010142,C00008958,97598308,GB70UJPF246441980803
US0010143,C00008080,51832450,GB53MVGB507106531584
US0010144,C00001389,85338542,GB95HKEV028933605618
US0010145,C00005219,21743973,GB18EJDF139960190575
US0010146,C00007157,33497754,GB97MYPT349546998262
US0010147,C00005443,53003269,GB67ZHPP834027667787
US0010148,C00009887,31490588,GB95QIQW694584447454
US0010149,C00007385,14663521,GB52VXPT368667063356
US0010150,C00008587,21780931,GB78IZGE545762140430
US0010151,C00000535,74111327,GB08BKHT399927901098
US0010152,C00002106,45535688,GB11XQMY138376788725
US0010153,C00005718,57738697,GB25LNGS257814896629
US0010154,C00009681,34966284,GB37LHCS410329373845
US0010155,C00007307,8935261,GB57CFAI163711707033
US0010156,C00008807,11605402,GB56UKSO387592054651
US0010157,C00006940,24176275,GB52NSNR403910421114
US0010158,C00006302,1491088,GB97YBHE442754081409
US0010159,C00003045,7348082,GB61LBRI151933470908
US0010160,C00003871,63721235,GB82NJQX583874622665
US0010161,C00009830,77634194,GB34YLKM070797252870
US0010162,C00009730,37487183,GB48DWPH695990482841
US0010163,C00004902,23807303,GB20AOAV995133959982
US0010164,C00007930,73732592,GB43JFNQ999643044974
US0010165,C00001787,8566363,GB73HDSU656051500627
US0010166,C00003121,44585352,GB47LPEU020901060427
US0010167,C00007386,19347398,GB87FZIW646499625018
US0010168,C00006692,19335337,GB53IBIV718380937356
US0010169,C00001538,4423711,GB32XIPV398053863534
US0010170,C00009283,65408265,GB58TXZC962646443037
US0010171,C00002625,76373130,GB23JIPG418830989327
US0010172,C00003899,27334310,GB14ILZR471190325995
US0010173,C00002947,25091062,GB22GART776409288350
US0010174,C00009705,40654745,GB60HPTT384119102454
US0010175,C00007671,78748566,GB71YVJV333646946050
US0010176,C00004000,80071193,GB69AIYK967074377637
US0010177,C00001396,87931063,GB25CQHY350785972077
US0010178,C00008320,93395974,GB78SHPN110766567611
US0010179,C00007902,16408537,GB69IJPC108147733801
US0010180,C00006854,79750995,GB32WBSM346599821772
US0010181,C00007246,88432320,GB06YYSO813952236975
US0010182,C00009332,11641710,GB04XZPB042302153180
US0010183,C00006634,75377921,GB36GBNF613127029630
US0010184,C00006796,94589895,GB95PFTT373931551059
US0010185,C00000978,40523085,GB66XLYN418730492914
US0010186,C00002214,82538731,GB71KRTO451051515115
US0010187,C00006767,84804759,GB68URWG106776391800
US0010188,C00000184,96569200,GB62DYZA567637271596
US0010189,C00005334,78468423,GB72PFLE815254892215
US0010190,C00000829,28274758,GB63KMKT444457272973
US0010191,C00003249,90484735,GB77GACR047489655165
US0010192,C00004251,81347951,GB12DCVC681480888784
US0010193,C00009130,87460395,GB84AOAM498682865590
US0010194,C00006891,87313829,GB66XRMS587735051166
US0010195,C00004626,76971195,GB33VTLZ550428000448
US0010196,C00004803,50288304,GB75NCYN570356803702
US0010197,C00004668,14227469,GB77DXIP353609143535
US0010198,C00000133,89854801,GB34IMTM948602035474
US0010199,C00002760,8490742,GB37IZLA328253399967
US0010200,C00006675,60686858,GB96UWFP706137404240
US0010201,C00008560,42731026,GB29ISEA222722450714
US0010202,C00004680,81461333,GB59UVUB588026028117
US0010203,C00002181,31597080,GB05TERD384503164748
US0010204,C00007553,26789091,GB62VEBK663334959034
US0010205,C00004303,65921822,GB70IYBC571770231588
US0010206,C00006859,5865929,GB76MKDW663815232523
US0010207,C00006007,901525,GB54ZYCB298740488885
US0010208,C00005182,1359126,GB20IQRW390057115329
US0010209,C00002935,73763295,GB11PLCK630791845276
US0010210,C00006931,846687,GB79OCON020458572438
US0010211,C00000788,92320845,GB11RJOF485665859149
US0010212,C00004691,68795340,GB37YOTV314221021414
US0010213,C00008967,45283000,GB68DJVI081567992637
US0010214,C00002503,68434581,GB23SVLJ043378210336
US0010215,C00002847,91856238,GB63DDRN526623468094
US0010216,C00001566,7878863,GB19DBUN918987044815
US0010217,C00006774,61073976,GB67JJNG087946274511
US0010218,C00009285,98586252,GB84UAER155265420700
US0010219,C00007419,99307587,GB19WAJP960915512666
US0010220,C00006471,21394140,GB97ZLCR241474679897
US0010221,C00004911,53032623,GB36DPUE143316880001
US0010222,C00003722,23532956,GB66FGXY225438837244
US0010223,C00008860,11400552,GB32UUKK618680290548
US0010224,C00004290,13580588,GB03QDOA317995825658
US0010225,C00004294,24769051,GB15NSIC353951487887
US0010226,C00006103,28389052,GB10UURF297251041029
US0010227,C00002880,73087671,GB30JMYP536115444210
US0010228,C00004596,20842098,GB28XAWK640257582291
US0010229,C00007922,22018517,GB04ETPB436899182820
US0010230,C00009837,72333674,GB96YAQN510379264739
US0010231,C00006566,43475756,GB84LBTL113987007625
US0010232,C00002235,87135364,GB68WJIU262332295056
US0010233,C00001053,45878921,GB72LNLE556641156531
US0010234,C00008705,45170335,GB45HWOM524059706227
US0010235,C00006444,20587447,GB52PMRH941446203787
US0010236,C00002939,96637961,GB66BPTS206486351829
US0010237,C00005111,53097895,GB34UBJK480226355680
US0010238,C00001452,6452063,GB48AMOL574531912666
US0010239,C00007871,64546372,GB21BEAT027153417261
US0010240,C00006165,47996915,GB85YQDS057434933559
US0010241,C00002123,33596556,GB04ODDS837683095801
US0010242,C00004321,91434393,GB36WPPB734832124096
US0010243,C00009773,34949732,GB33MTJL399242809454
US0010244,C00003984,34475585,GB78TVJR532035906352
US0010245,C00000420,16039348,GB93MKNQ391010716263
US0010246,C00003320,94216457,GB19STOM946887354512
US0010247,C00004123,17121359,GB04OZJI274527080080
US0010248,C00002078,32734580,GB42DFMD687761424230
US0010249,C00004354,60977380,GB83XTXF909178649627
US0010250,C00004504,76802451,GB07RCGX313957785128
US0010251,C00005522,65939526,GB08VXHI994261466852
US0010252,C00001087,10514401,GB25NBXB555533801930
US0010253,C00001269,86965186,GB33HVQJ991645679313
US0010254,C00000774,39919061,GB38LEEO140877446462
US0010255,C00000731,37388869,GB17YKFS138081653756
US0010256,C00007950,59842846,GB52ZLYS976613383080
US0010257,C00001329,72444984,GB29PLDS906863886155
US0010258,C00007657,81303353,GB58RMYJ182032193025
US0010259,C00003644,84679841,GB02DOAD307058561984
US0010260,C00002165,5285075,GB53GCJN205906596102
US0010261,C00007406,66862476,GB39GJBN736362889781
US0010262,C00007987,15848212,GB55KTPU879012497067
US0010263,C00000827,77632772,GB79RRQQ284425899681
US0010264,C00000187,91525663,GB29BGQZ561830260438
US0010265,C00007754,26839037,GB29XVUF687327514243
US0010266,C00002886,24531224,GB14SBDB267509765640
US0010267,C00003179,88119090,GB55ZTAR844548551827
US0010268,C00009262,89726708,GB18ZZJR849066872174
US0010269,C00009498,61998405,GB77PQRR321344678744
US0010270,C00000736,68096499,GB82PYKS958545010613
US0010271,C00002008,314597,GB60XJIU999263628182
US0010272,C00002782,9883426,GB70SYUF205979723987
US0010273,C00009917,31424712,GB53KNGO128320027748
US0010274,C00001359,93508194,GB63KZRH857742276777
US0010275,C00008834,38664330,GB84SPPT213138497457
US0010276,C00005999,45525374,GB84GGSD488552111395
US0010277,C00000121,6669797,GB65TTVS414819481377
US0010278,C00006623,60757710,GB41ZKYT619206876879
US0010279,C00009708,6829530,GB43IHIW928446896239
US0010280,C00007393,13539999,GB11SKYL691643457866
US0010281,C00007000,41657913,GB57QEEU101263591069
US0010282,C00003288,13838715,GB97GYON327360507096
US0010283,C00007166,6291898,GB82QPIE507341815842
US0010284,C00004066,19872254,GB07XUHC481764883524
US0010285,C00001988,25184531,GB70ENHX575144364968
US0010286,C00006387,22798567,GB89XMKC000742859681
US0010287,C00004257,27465188,GB34CEAX169569280614
US0010288,C00008232,39997389,GB45WMNH157544602186
US0010289,C00007976,19602719,GB85BMBK460784600462
US0010290,C00009010,55748586,GB79HTQC300101763550
US0010291,C00006114,545475,GB02YZVN758808942843
US0010292,C00002812,98968658,GB47YBXG873227292542
US0010293,C00009642,1618931,GB32NFOP765714886444
US0010294,C00001065,3865889,GB56TMMJ902306631536
US0010295,C00007485,70734380,GB93PAIC381373160683
US0010296,C00002239,63894766,GB28ZXMT251240153321
US0010297,C00007899,3519552,GB88HSIN283725113724
US0010298,C00006529,68263735,GB65NVSE289906315431
US0010299,C00000593,56265460,GB94SRFU186617751739
US0010300,C00004159,20799890,GB90XAUQ907235198942
US0010301,C00001883,18441566,GB35IVAZ069375057813
US0010302,C00009362,48764838,GB60HYLS817553473074
US0010303,C00000027,5891819,GB04GQQK816605898408
US0010304,C00001407,67544651,GB02OQVH548280655196
US0010305,C00001818,61753648,GB64PSQD805698416847
US0010306,C00002682,71925406,GB62OCSP095232991117
US0010307,C00002548,62458270,GB50DEYF526273311086
US0010308,C00006015,74457954,GB76TKTO649198716581
US0010309,C00006455,9873951,GB66PBDS259578246191
US0010310,C00008203,94336773,GB44WTDY364267521390
US0010311,C00001610,46560879,GB66WZVV258158485075
US0010312,C00006446,17093600,GB93VSNN683703653541
US0010313,C00002683,34352855,GB14WDQJ434279252826
US0010314,C00007481,66584992,GB03BBYD166010228374
US0010315,C00001569,35501032,GB35LQRS491582907779
US0010316,C00000166,1710572,GB88NDFR333620898292
US0010317,C00006360,52773114,GB08PMQW895950856716
US0010318,C00008532,49017007,GB27LNIU718119786717
US0010319,C00000834,53176902,GB62FZZX971749122722
US0010320,C00001679,75260575,GB76VYJC201719821462
US0010321,C00008637,69250573,GB09TLIE671526112540
US0010322,C00001963,62859069,GB43YRAN237398326232
US0010323,C00008676,31396024,GB61UUFE692981741999
US0010324,C00003667,47987663,GB80SXFM319715914942
US0010325,C00005452,5644743,GB49IQOK546537864446
US0010326,C00004878,26291742,GB78LBIY842112179373
US0010327,C00006898,6616971,GB58YOAM630255888375
US0010328,C00002938,98015372,GB37JTKI518249038679
US0010329,C00009734,51759567,GB61KGRY390996762007
US0010330,C00000782,70973026,GB05WGQA483023072198
US0010331,C00003287,8876087,GB88JGDF765506217123
US0010332,C00006269,4545871,GB58AWPW147204496047
US0010333,C00000029,585057,GB13YKPU250808070029
US0010334,C00001516,80983356,GB39WOHJ970150102358
US0010335,C00002333,60092197,GB63TVBB003350171934
US0010336,C00009555,91474918,GB42EMTU920707941680
US0010337,C00002382,5343351,GB22ZLMK016569785912
US0010338,C00006597,76779925,GB37YLMG120492477667
US0010339,C00005915,70022207,GB93OZLV360494379815
US0010340,C00003944,71994157,GB25VBSA801791364965
US0010341,C00003949,94814113,GB38UBGE967761578979
US0010342,C00007284,32115809,GB30DVXC788944501333
US0010343,C00003472,22734969,GB21CHUL258322538725
US0010344,C00000341,95725114,GB64ZIWR414883667229
US0010345,C00003756,85434808,GB13RKFR264613096223
US0010346,C00003013,3546753,GB07RCZL577872953974
US0010347,C00008570,34542096,GB28LTIZ793006552870
US0010348,C00006897,30523989,GB33CJEB796480876824
US0010349,C00006231,89626672,GB56ENQE917998632050
US0010350,C00001372,70901486,GB77NJZT265816083372
US0010351,C00007676,66896307,GB30GKTE446837649997
US0010352,C00000977,40256641,GB58YNVS290241437561
US0010353,C00005875,39553286,GB23QAUO398487422970
US0010354,C00005049,9063713,GB61HHRJ134247140444
US0010355,C00008826,85744635,GB88SQSP323802450805
US0010356,C00008458,97243151,GB29NTMV939698866833
US0010357,C00007122,82553455,GB32MGAI098629371604
US0010358,C00005972,88093091,GB54XNYB799644595343
US0010359,C00004511,42380204,GB92FGDG002213878075
US0010360,C00006315,9185765,GB79SDPV468607291957
US0010361,C00000659,20377620,GB20SXOI863597859575
US0010362,C00006707,46459035,GB58AZXI098262780543
