numero_cuenta,cliente_id,tipo_cuenta
GB43NRCC536500464276,C00000033,ahorro
GB44LUCS411732624158,C00000099,dolares
GB83RVLV490907075509,C00000094,chequera
GB42GDKI148653752786,C00000089,corriente
GB89AKGG851795182877,C00000055,nomina
GB33PJXC955626340127,C00000042,dolares
GB15FMYE690368736161,C00000036,chequera
GB06QOIW625028285905,C00000012,nomina
GB33SANU812031937370,C00000082,ahorro
GB27SPET997583693918,C00000092,ahorro
GB11NEYD351160602319,C00000018,dolares
GB43UHRK788060584598,C00000063,corriente
GB02YPRC893690222912,C00000057,nomina
GB84KOAC253600942635,C00000074,nomina
GB76IQIC826442697112,C00000045,corriente
GB64QXUH366967747230,C00000096,corriente
GB39QBYK536610119339,C00000001,chequera
GB35AKXC412173402779,C00000053,nomina
GB42XRZN509439885425,C00000062,chequera
GB58UGSP587391729150,C00000054,ahorro
GB95PFHE047781215470,C00000049,nomina
GB29RTOK062686217205,C00000021,ahorro
GB32LGCQ968893474122,C00000035,corriente
GB76EGXD952269763751,C00000070,corriente
GB94ZESA792457146214,C00000020,dolares
GB95EUNG159454485753,C00000007,corriente
GB64LHGD518547005863,C00000014,nomina
GB73ISVC775685008460,C00000056,dolares
GB58CGVG049974162152,C00000019,ahorro
GB78AJGF481616024350,C00000037,nomina
GB61RVPA316420811417,C00000100,nomina
GB93JHRK735523774029,C00000009,corriente
GB52PHXH461043310053,C00000032,chequera
GB88ZQYB622703708910,C00000029,corriente
GB75CMSF617615340150,C00000058,dolares
GB28ULVM847599979911,C00000052,nomina
GB75HBFF941475855711,C00000086,chequera
GB69BLIK092696507875,C00000030,corriente
GB68IESB371927061227,C00000023,chequera
GB66ABEA160847761695,C00000008,chequera
GB61OJGD025839333030,C00000093,corriente
GB76BCDI175529421014,C00000085,chequera
GB23IJQE686704923527,C00000067,corriente
GB89JSHD131090106414,C00000022,ahorro
GB57MXBZ360081194612,C00000066,chequera
GB80QDSZ387724788730,C00000031,dolares
GB17YSWS945660069324,C00000061,nomina
GB12WHRU221006539364,C00000003,dolares
GB23ORYX027107550769,C00000006,dolares
GB16EZPI968704106711,C00000071,ahorro
GB88VYQI571479390621,C00000098,nomina
GB36OAOY150835501278,C00000079,dolares
GB75JDUT571603787540,C00000010,chequera
GB79GUQD733786076672,C00000075,corriente
GB21EGXO426866590376,C00000041,nomina
GB77NAWY351858953365,C00000064,chequera
GB02AYRJ217482117815,C00000068,dolares
GB10LCES452737773107,C00000043,ahorro
GB72ZJUX592574465731,C00000024,dolares
GB31EVQU384347315203,C00000084,ahorro
GB60IMJE082765126214,C00000046,nomina
GB45TKDT227390936324,C00000025,ahorro
GB28RWNU229617448103,C00000005,chequera
GB16KHIA292451435249,C00000027,dolares
GB64VHHP742807810180,C00000095,corriente
GB82QRWW605046787717,C00000013,ahorro
GB04WPUT487380973639,C00000088,nomina
GB70CAPJ006398384645,C00000059,nomina
GB52FAYR266780210588,C00000028,ahorro
GB08RSVH696187873028,C00000073,dolares
GB23BNYE016776085295,C00000016,chequera
GB26QDBZ707700828428,C00000077,dolares
GB11GSYG355787090902,C00000087,nomina
GB78WPUD209026353602,C00000069,nomina
GB37BVHW805384125659,C00000015,chequera
GB71CUPE027865184310,C00000080,chequera
GB44JCFO385129828750,C00000034,chequera
GB62SOVG287109082978,C00000081,dolares
GB96JXZB386206819901,C00000091,chequera
GB93TTQC457976876024,C00000060,dolares
GB12NTLF673731277212,C00000076,corriente
GB69AAQE779668292813,C00000090,chequera
GB05EUBF317505739353,C00000050,ahorro
GB47BQIN491357808183,C00000011,corriente
GB29JSKQ444169928701,C00000051,ahorro
GB96EESD039131045539,C00000065,chequera
GB36YHRR883922949764,C00000047,corriente
GB36TYQF148299044321,C00000040,dolares
GB78QICM472236269014,C00000002,nomina
GB49MIVU139562195902,C00000097,ahorro
GB53SAIX053000323370,C00000048,chequera
GB49HAYZ211381503801,C00000072,corriente
GB03MPVK943308007738,C00000083,ahorro
GB19FBDM976085821624,C00000004,nomina
GB06ZGIZ219816200412,C00000039,nomina
GB50JDZE638879632010,C00000026,corriente
GB91VPLN425955576785,C00000017,dolares
GB52MUSP651475209194,C00000044,dolares
GB95HSTN562451089783,C00000078,chequera
GB36MJSJ499447236420,C00000038,chequera
